#{"t_start": 1718345642.486299, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
-139.640632,1000,15.083272
-11.656441,11,15.245438
-9.813244,169,17.661259
7.635499,651,24.308594
-70.645206,425,28.160878
-23.774197,17,28.310347
-16.667217,13,28.425382
-102.888939,1000,46.562175
22.89832,1000,123.358594
-39.249604,1000,145.039492
-72.11467,1000,156.455149
-16.990691,68,157.040864
-16.307033,328,159.979271
-19.327694,15,160.108465
-52.54608,167,161.657845
70.124612,1000,180.565879
-99.339039,1000,251.471868
-130.202258,1000,262.516269
-57.445207,164,264.167152
-47.307527,192,265.878632
-40.417272,1000,275.159083
-2.674086,757,282.950203
4.565936,129,284.289899
-5.182791,236,339.143682
-0.866588,74,340.166585
-7.096561,108,351.143913
13.853322,563,357.956436
1.792154,1000,369.601552
-8.282492,620,376.563187
-5.120436,100,377.705867
47.571506,1000,398.590294
-19.214698,16,398.788634
-9.638384,10,398.912837
-55.127258,1000,459.421094
47.064218,410,464.024905
-6.577119,10,464.132585
41.403371,523,478.417521
30.153302,538,485.065466
-43.355149,1000,499.803956
-48.724899,237,503.163254
-16.21113,135,505.032597
-36.738615,559,521.492579
-1.409575,418,574.615831
54.031279,547,580.875526
-13.775184,486,586.478233
-23.47903,317,589.963369
12.23728,259,592.949463
46.012242,1000,613.658962
17.344482,1000,626.151548
-27.803463,1000,692.859591
0.791112,210,694.685201
-58.978968,1000,704.081043
22.727709,1000,715.273652
-52.191918,1000,735.374602
-14.219355,1000,791.894498
-35.15706,111,792.859841
-34.546898,18,793.016702
-3.049269,97,793.855556
5.539235,918,810.550006
-10.394755,10,810.638024
-51.295262,780,818.466099
-20.797048,321,822.023879
-36.705867,110,823.048061
-11.402626,11,823.149868
-0.945919,692,839.850446
109.146748,670,893.152061
-15.001585,11,893.252208
71.202037,1000,903.058978
0.734409,65,903.795912
-77.897667,961,923.764848
31.531916,1000,934.918133
103.072992,1000,990.826507
31.808725,523,1004.929257
70.363563,1000,1016.121866
-16.894457,374,1021.834315
-18.198285,11,1022.005964
18.297932,453,1029.100924
-13.462047,1000,1044.743947
76.86017,1000,1100.655692
25.848301,1000,1121.368515
94.767198,854,1134.708337
-11.333965,17,1134.964653
0.729907,1000,1149.583186
-33.155928,1000,1218.074052
4.134744,235,1220.856114
36.331748,334,1224.807049
84.059176,1000,1235.426202
37.789429,173,1237.099816
-9.174247,8,1237.176143
-6.789786,15,1237.319279
68.917277,806,1254.497516
0.30661,107,1255.67542
59.711561,1000,1311.881037
-15.241077,941,1328.683624
21.508485,355,1331.915075
33.705086,935,1343.815367
75.931691,1000,1352.783947
13.362631,729,1370.055243
-6.88841,58,1370.709015
141.988792,1000,1431.729004
-9.914865,841,1453.364641
149.013297,1000,1463.126014
45.297571,1000,1474.092913
20.85594,710,1549.773252
120.278455,1000,1560.461769
-16.989023,296,1563.401876
8.95226,450,1568.458755
30.18736,1000,1588.695783
35.810371,176,1590.656274
183.730393,1000,1650.939032
57.610966,913,1669.953306
-9.924416,120,1671.083236
187.210455,972,1680.180827
13.744391,903,1688.795339
150.961881,618,1704.827626
-9.299194,18,1705.040179
31.925787,409,1757.632711
228.749557,1000,1769.545165
7.661823,1000,1789.013602
107.953706,1000,1800.500283
169.452847,1000,1812.017977
28.914961,330,1863.527983
212.051933,1000,1882.16921
52.521687,493,1886.639127
-0.850773,112,1887.726308
146.156437,1000,1907.027175
0.174874,92,1907.914688
-6.689619,153,1909.583187
-11.175781,15,1909.797701
-14.390378,220,1912.565355
-15.80454,168,1914.128267
54.827858,595,1970.249172
90.399834,1000,1980.317843
229.903275,1000,2002.570605
53.000762,469,2008.228186
61.879887,1000,2020.557341
16.845631,271,2032.20962
104.766547,651,2087.723947
237.621229,826,2096.417388
19.694465,130,2097.560747
119.938319,972,2117.792087
1.364036,22,2118.033482
-15.897842,90,2118.832413
111.045802,1000,2129.422736
176.768534,886,2184.884634
180.692553,1000,2204.471682
103.737058,1000,2213.177095
196.098333,1000,2231.377361
39.663931,275,2233.958484
183.203395,871,2293.893216
163.565061,1000,2304.875616
136.101717,1000,2325.818295
218.280799,1000,2335.948703
54.400317,316,2338.796757
111.073315,1000,2406.922828
18.781619,164,2408.538807
62.048699,747,2416.069245
71.47599,443,2421.05157
17.633913,273,2424.195251
13.010867,88,2425.209266
11.449805,626,2440.785495
5.311436,112,2441.794085
49.127334,974,2452.943522
-9.163524,100,2454.162457
26.840708,235,2505.123508
281.834979,1000,2527.569727
1.996038,188,2529.64797
199.469735,1000,2539.161591
237.336854,1000,2559.442072
9.143905,108,2560.748476
104.055298,1000,2616.306069
14.046806,108,2617.529754
7.088742,226,2620.088729
174.113197,1000,2631.430063
64.868949,357,2644.152356
-0.334351,45,2644.658099
6.285259,70,2645.441187
97.5816,1000,2656.91137
276.952733,1000,2715.58676
127.543474,836,2735.18836
90.104801,391,2738.820209
46.388879,196,2740.512074
-3.539334,140,2741.761375
27.941917,212,2744.014734
263.030414,1000,2758.520132
102.837746,678,2766.883058
35.40916,201,2769.573025
-5.688055,11,2769.717706
9.64585,203,2772.394257
226.122459,1000,2828.1126
201.083909,1000,2848.929995
32.36019,299,2851.786345
-8.88516,6,2851.857259
147.908861,501,2857.764755
52.847474,347,2861.80406
171.6763,1000,2882.769237
8.475507,259,2928.755996
199.361717,1000,2940.208929
-3.631957,17,2940.394483
66.600342,186,2942.424161
4.024565,75,2943.241374
-18.283431,15,2943.406588
100.471542,1000,2964.210146
171.845404,1000,2976.418347
288.341402,1000,3043.042168
108.091285,248,3046.580614
205.759689,595,3053.197706
197.619563,1000,3062.791041
78.287203,436,3066.804861
86.182996,1000,3087.156713
196.172034,1000,3141.492719
219.943586,1000,3160.935522
32.895352,147,3162.264631
173.196272,1000,3172.448897
-4.088863,62,3172.987646
266.717431,1000,3184.004163
48.337008,191,3194.599031
266.784449,1000,3254.069488
8.090884,360,3258.374518
10.315126,28,3258.618958
225.285498,1000,3278.833455
202.144566,1000,3290.60023
132.81627,680,3298.634269
239.811866,901,3360.927532
-1.785947,18,3361.140005
81.742106,368,3365.487627
34.455354,140,3367.148549
354.856459,1000,3378.777074
245.063815,1000,3398.955474
31.881814,196,3400.74748
124.73031,833,3456.132366
228.219471,760,3463.961552
319.894048,1000,3483.919884
27.204196,138,3485.438324
120.450392,386,3489.74759
357.283042,1000,3500.560264
162.097328,1000,3567.695775
7.145502,129,3569.101305
250.991593,1000,3578.00848
321.33606,1000,3599.286611
55.159925,227,3601.394631
296.357872,1000,3612.274094
147.504192,400,3617.244322
35.479077,171,3665.539065
396.472151,1000,3686.098268
47.963754,150,3687.793884
217.879587,1000,3698.049986
-8.694975,164,3699.86479
92.153595,463,3704.987664
266.28451,1000,3728.242048
5.168282,92,3729.443814
10.187303,57,3730.188964
272.228362,1000,3781.753124
307.539346,1000,3801.883589
9.527144,18,3802.094492
23.571051,51,3802.693715
116.981583,558,3809.64001
31.481405,170,3811.798987
316.578529,1000,3824.237739
418.505281,1000,3889.061262
46.370704,268,3892.040797
11.286858,57,3892.662615
58.713825,396,3897.182436
0.101687,24,3897.464409
42.405846,86,3898.471571
257.311774,708,3905.924423
-9.702013,12,3906.069768
179.591285,1000,3929.155025
87.142483,407,3933.544994
165.359795,505,3978.649776
10.90267,132,3980.195507
83.279842,333,3984.036716
6.044307,31,3984.389852
68.450445,261,3987.360135
244.961312,1000,4009.988834
351.470817,1000,4022.361864
424.197816,1000,4046.967586
309.508295,1000,4097.18366
50.897267,352,4101.288722
15.628817,57,4101.961733
444.63822,1000,4126.984582
209.149625,1000,4139.405244
249.845296,1000,4190.075551
395.803461,1000,4216.896862
385.250643,1000,4230.583935
300.72046,739,4250.906802
386.439461,1000,4262.665372
-8.876608,8,4262.757305
36.759406,140,4264.377471
143.664041,313,4303.276751
227.610909,641,4310.165217
-13.204471,23,4310.42419
157.605217,714,4329.82754
375.287396,823,4339.750221
77.261038,308,4343.492775
129.523858,605,4351.089533
33.889009,275,4354.291861
-5.552639,19,4354.468089
153.147778,371,4358.548423
372.31379,1000,4405.067716
525.311857,1000,4416.383865
219.349352,543,4434.081708
313.381666,1000,4445.817867
74.988829,174,4447.925943
403.30328,1000,4495.832059
300.580321,786,4513.443552
55.196126,121,4514.595415
306.922926,674,4524.36261
336.950233,720,4536.120673
74.26431,183,4539.04552
304.532036,1000,4561.434068
274.116442,1000,4612.990817
14.996788,43,4613.490286
94.895027,225,4616.099077
32.651632,57,4616.769417
-8.407834,15,4616.942604
32.665522,41,4617.421343
81.899508,238,4631.55186
269.870959,724,4640.222904
164.916484,372,4643.920889
476.25253,1000,4654.190204
17.980407,34,4654.584702
198.880694,373,4664.152301
72.702468,125,4665.881564
470.543216,1000,4720.175543
215.711244,636,4727.793423
384.499133,989,4748.549849
18.121807,42,4749.023587
-3.174746,32,4749.382014
172.47844,364,4753.517447
-2.673762,23,4753.766428
196.800291,544,4759.764135
499.509236,1000,4813.97783
223.449689,496,4824.056966
64.794753,195,4826.376968
155.676511,393,4830.973726
368.9469,1000,4842.349489
47.905132,116,4843.544747
206.407106,1000,4864.904784
313.560174,846,4919.014524
124.713205,310,4923.030494
28.554331,118,4924.394858
218.024355,397,4928.476428
328.346981,1000,4948.262672
160.202747,423,4954.248098
159.841645,357,4959.215954
96.279735,162,4961.461909
200.857568,593,4969.822934
158.098183,465,5023.25872
-1.084844,18,5023.470771
602.142901,1000,5035.335033
2.53943,16,5035.529477
132.336061,308,5039.180832
374.85371,1000,5049.736408
92.134689,258,5052.450841
41.228976,218,5055.493147
445.022474,927,5065.631742
92.037231,255,5111.755409
312.751325,1000,5124.449792
110.142372,234,5126.518019
98.265857,239,5128.648903
7.916767,37,5128.973651
254.118941,626,5134.551127
292.171623,535,5139.311538
66.678415,144,5140.588405
73.388479,174,5142.134149
561.889674,1000,5160.330965
440.18468,862,5216.449517
188.285395,441,5221.000975
593.404149,1000,5242.627902
326.696283,1000,5253.7982
110.907813,228,5255.90012
377.206144,1000,5321.38019
31.049952,67,5322.148745
446.176615,1000,5332.06735
53.485584,147,5333.717985
147.271955,261,5336.716229
299.881628,829,5356.74239
6.697413,31,5357.081536
108.220361,257,5359.79035
13.71602,90,5360.583432
33.570517,63,5361.12824
-0.670967,34,5361.418451
212.942653,412,5365.032487
349.794123,692,5416.3189
327.020168,501,5422.964182
40.222462,208,5425.714819
574.319873,884,5438.8087
111.327333,220,5440.782903
-5.119461,19,5440.950602
251.856876,715,5447.306902
234.588984,383,5450.43827
287.947667,631,5465.046106
42.064672,42,5465.565765
298.176325,698,5513.938597
218.528411,473,5518.79955
53.40219,111,5519.918596
560.982764,952,5529.574015
265.464725,497,5548.911848
79.770099,158,5551.301549
431.640311,791,5562.451661
61.185878,131,5563.629224
118.880301,297,5566.193733
118.051752,205,5567.958839
14.694038,51,5568.402827
10.014572,48,5612.941891
555.344374,1000,5625.118029
93.907165,240,5627.471476
-0.196364,17,5627.636584
21.711274,59,5628.392347
256.679827,526,5634.785884
8.30189,27,5635.09615
480.110354,1000,5648.594261
42.761202,37,5651.993886
341.654598,746,5659.513681
11.058443,55,5659.974952
503.623043,1000,5714.512538
536.611191,1000,5730.112514
199.080317,389,5735.806872
41.615602,95,5737.196685
191.10856,352,5742.368393
36.384848,76,5743.465825
68.573112,207,5746.430515
59.001158,124,5748.172757
143.43574,230,5751.423829
237.551749,496,5758.357322
42.056253,159,5760.662502
476.057318,834,5816.890827
138.06086,191,5818.915067
63.188964,107,5819.987524
35.986161,92,5821.062932
7.037145,21,5821.332571
14.126696,68,5822.125434
-9.851632,11,5822.268104
32.225781,44,5822.83434
30.54219,38,5823.264618
41.596941,106,5824.333635
261.331203,523,5831.894811
627.177,1000,5846.458197
138.86942,205,5848.188044
48.028369,86,5848.931267
118.104593,157,5850.336837
125.916444,205,5852.127012
133.61306,240,5854.161093
116.352895,318,5857.006253
678.413026,1000,5910.538344
314.456221,625,5918.650605
550.798591,1000,5929.924534
148.022815,415,5933.939837
130.596445,220,5936.120023
481.351628,838,5956.183626
237.870035,416,5999.738666
80.15946,77,6000.677109
235.85682,352,6004.273215
302.746238,600,6011.558637
69.303134,146,6013.424359
472.022996,1000,6027.359269
118.517641,273,6030.577632
120.231141,302,6033.735179
234.374796,383,6037.340171
52.749537,61,6037.890624
230.114448,378,6041.868357
167.608963,402,6098.769188
243.706758,450,6104.250391
265.968926,716,6112.521902
431.190626,1000,6122.84021
61.113664,120,6124.057598
13.526716,38,6127.303306
90.150852,127,6128.792055
90.767983,286,6132.071233
50.389003,101,6133.242096
657.021826,912,6141.993792
52.155694,96,6142.853375
89.36687,169,6182.55349
166.430122,293,6185.206334
165.903662,240,6187.355186
69.802827,122,6188.765153
202.614422,389,6194.647864
-7.109266,17,6194.876762
96.602578,291,6198.644906
176.980491,439,6203.989243
71.937278,132,6205.303193
169.135052,223,6207.498158
7.30828,52,6207.99442
99.359597,164,6209.559104
155.132502,215,6212.19625
61.724922,228,6215.307621
-5.83311,18,6215.48847
528.61839,1000,6231.487945
685.117842,1000,6280.795304
200.181706,256,6283.798375
22.652714,40,6284.279064
311.583895,1000,6305.572816
35.065523,54,6306.074081
411.094569,532,6312.198174
437.390345,680,6320.089951
41.894129,71,6320.873724
145.187197,257,6323.742083
26.078716,68,6324.483158
344.786188,674,6376.376729
274.825179,507,6383.493446
411.899137,792,6392.860375
286.506471,669,6399.964693
277.285271,542,6407.387251
280.233515,441,6412.092906
173.861825,226,6414.704966
225.334481,272,6417.798929
361.990251,591,6461.351782
41.871574,102,6462.321371
194.764273,392,6465.948651
112.230376,205,6467.816991
271.169947,367,6474.925219
553.55815,1000,6486.222403
245.073424,342,6490.268369
342.41369,546,6496.123859
120.825472,192,6497.964929
171.595387,213,6505.967637
21.054955,54,6506.624648
120.22374,160,6508.638705
654.4216,878,6557.172808
603.811473,1000,6567.2925
260.22359,482,6581.291671
113.975035,191,6583.554448
472.342485,1000,6594.598235
503.953619,1000,6644.591325
76.916603,107,6645.79447
615.763196,895,6657.882148
243.940001,408,6662.454472
108.521197,233,6665.053935
24.746106,85,6666.077102
190.618008,259,6669.25879
649.097551,1000,6686.300032
53.685868,98,6687.731327
341.43674,746,6697.705867
14.689095,33,6698.127022
118.472779,143,6743.548917
137.589577,172,6745.588114
303.050037,457,6750.962969
229.102188,318,6754.700225
8.566769,46,6755.2687
645.761155,1000,6767.902214
453.404969,699,6777.913061
134.35869,276,6781.923069
25.782902,39,6782.481285
594.019771,1000,6798.064255
-0.142971,16,6843.159654
115.634573,154,6844.957147
46.229212,79,6845.902898
597.832195,1000,6857.750755
104.74233,135,6859.29828
56.57099,76,6860.199237
-2.478559,16,6860.388448
186.564299,360,6864.617566
19.499604,48,6865.178699
340.690042,515,6881.890841
274.161578,361,6885.628242
66.966619,125,6886.736508
675.571978,1000,6896.113247
555.723528,791,6952.743388
80.636015,150,6954.074197
659.610298,1000,6965.1716
38.436539,42,6965.636064
63.150263,127,6967.031088
662.021636,1000,6978.210103
386.588918,614,6985.332943
142.031543,233,6987.907901
84.374336,145,6989.527554
676.188916,864,7043.318857
320.92467,502,7048.787398
188.456417,290,7052.103862
1.987272,20,7052.33176
