#{"t_start": 1718361815.316874, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
-3.729116,1000,7.020682
-8.624599,32,7.215107
-53.265667,600,10.765127
-11.532665,13,10.839794
-15.449791,633,14.559597
-16.161097,15,14.647083
49.290951,1000,20.582917
24.919043,247,22.064335
-14.580249,12,22.134542
-4.500193,11,22.201586
70.222955,1000,71.574805
-0.867438,648,75.533422
-21.384475,120,76.254727
-11.313148,1000,82.163016
-33.645621,113,82.830428
-44.81859,274,84.449286
-5.139701,32,84.634963
-13.668198,43,84.886264
0.334722,90,85.413858
56.812696,646,89.350495
-37.964198,142,90.197899
52.230899,634,137.018587
-35.757135,1000,143.415343
105.652246,1000,149.39034
70.62062,1000,155.456619
36.453162,1000,204.073641
53.583377,1000,210.822528
74.865755,919,216.302886
-2.752886,45,216.563681
-12.132862,20,216.678478
-0.910698,295,218.471817
-9.072807,11,218.540356
65.885687,409,220.980299
36.881762,712,225.203867
-11.356961,22,225.332633
111.124383,474,228.395132
65.580304,938,277.174546
-95.174701,691,281.388658
-8.758448,46,281.665113
2.093805,322,283.595124
79.410029,513,286.703644
64.849463,1000,292.706631
101.864283,530,296.049811
-1.555859,86,296.713097
172.629315,1000,345.615743
39.577299,952,351.247398
-9.15787,334,353.220521
57.201611,692,357.334011
-5.916541,10,357.394522
42.435393,569,360.813856
101.558656,777,407.880745
86.469893,1000,414.794415
34.570736,608,418.546212
33.538229,217,419.944791
-13.86157,61,420.320098
80.605554,567,423.819219
5.43086,28,423.981125
-4.560229,226,425.331866
60.527654,1000,431.332114
-11.275386,13,431.41937
-10.128139,9,431.484449
9.77823,67,431.998702
58.844745,363,476.348206
44.655108,261,478.589991
-4.496877,355,480.898216
-31.972343,1000,486.866197
7.3213,189,487.990657
127.448013,1000,493.917355
31.337423,606,497.525075
40.050128,502,500.972811
-20.703181,453,546.419219
50.997196,633,550.482255
0.12732,108,551.125744
135.107439,617,554.81864
78.206153,1000,560.805612
55.635011,698,565.050189
-4.462491,106,565.681455
51.9798,721,612.752705
59.232896,1000,619.473498
94.013344,630,623.235963
87.832274,463,626.013781
-6.138909,429,628.566641
-13.23534,21,628.691789
215.675479,865,633.894327
132.547963,697,680.628262
-6.290555,151,682.000264
