#{"t_start": 1718361815.29529, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
-16.614637,269,2.612595
0.003244,387,5.000456
-36.168258,1000,10.924243
-3.759404,11,10.990254
-7.922444,35,11.196701
81.715605,1000,17.1044
-37.900724,350,19.166381
2.491048,120,19.876036
-11.275602,61,20.24503
-8.060322,9,20.300901
1.131005,78,20.763398
-14.001796,134,21.578927
-6.136004,299,23.355435
24.596826,1000,72.723714
-27.958997,137,73.544001
79.302752,1000,79.581421
29.704145,1000,85.476761
23.05108,46,85.752959
-22.936094,1000,91.794974
43.691953,1000,141.24614
27.779234,424,143.783644
19.802394,138,144.605037
-15.921359,133,145.395915
-8.895931,10,145.453125
78.387258,570,148.857841
15.155111,244,150.314979
-13.618407,223,151.647095
85.247087,926,157.257139
35.797356,765,204.705189
7.634527,429,207.855663
-9.01909,11,207.923569
-3.638685,587,211.384586
0.272379,76,211.83412
-44.932533,578,215.261884
69.05275,1000,221.276228
27.60174,401,223.63384
25.604738,449,226.311393
112.576536,1000,275.698492
-13.176312,80,276.17616
-38.471341,471,279.008735
-13.333899,240,280.481852
48.074906,255,282.038327
13.136033,145,282.920552
32.383494,701,287.158074
71.312066,1000,293.171158
-16.505637,12,293.245175
10.090913,121,293.967002
-4.899585,12,294.04393
-35.268272,133,294.851353
61.588404,1000,344.049027
31.215212,266,345.62462
-6.708422,12,345.696582
128.767566,537,348.876122
101.626312,1000,354.775975
86.30307,1000,360.767298
