#{"t_start": 1718361815.466564, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
159.999052,1000,6.873491
-14.695943,25,7.024065
-24.080634,497,9.966551
-21.093195,632,13.694098
17.932264,145,14.533092
-29.117822,211,15.790919
-10.739829,13,15.871563
-2.82596,79,16.338392
79.573885,1000,22.287012
25.711055,260,23.822844
-0.784764,87,24.412685
-3.482614,1000,73.74314
21.859766,1000,79.763582
58.00139,1000,85.663412
-33.921758,50,85.959585
136.077842,1000,92.051856
129.917875,1000,141.453941
33.931518,682,145.518823
141.809708,1000,151.495827
-103.759368,705,155.791332
99.838268,501,158.768441
103.398325,533,204.97745
50.681006,649,209.290777
1.792717,1000,215.208845
3.853475,167,216.223672
-2.861152,1000,222.204618
72.037709,389,224.513392
-13.33133,11,224.580218
4.73805,61,224.946797
-10.80831,348,227.015223
133.383398,1000,276.398288
3.298602,243,277.844844
39.895702,715,282.216733
101.729843,1000,288.249352
141.766722,519,291.357074
14.448753,880,297.069764
-6.789484,269,340.976628
-51.078808,1000,347.442283
-8.143203,150,348.333045
59.965753,894,353.609274
19.203055,1000,359.575936
12.691069,320,361.522537
-17.076101,833,409.522256
60.436992,933,415.417956
-12.663111,75,415.865702
-2.115066,24,416.014318
-1.021007,524,419.348316
3.396426,1000,425.447347
-4.359234,113,426.121902
-4.201139,62,426.487772
-86.866644,1000,432.847608
39.363026,387,477.631593
-5.601168,456,480.720847
-47.856769,851,485.805768
60.140066,1000,491.741641
52.471965,1000,497.676899
22.519115,261,499.392612
-5.147332,16,499.516866
108.995017,1000,548.757027
107.491928,1000,554.757471
63.229689,436,557.372083
-19.658816,33,557.573
-26.316496,107,558.224584
15.164396,1000,564.263563
69.128008,959,612.857366
4.52817,308,615.304326
-6.817727,13,615.388955
-4.506951,459,618.152934
98.271378,1000,624.147375
-6.117625,15,624.236207
-23.404415,18,624.341229
29.276955,276,625.989163
-3.91662,13,626.065663
218.489788,1000,632.052214
-10.299845,12,632.124394
-6.975427,31,632.314907
18.38157,1000,681.113261
43.056856,1000,687.612847
96.039496,805,692.377326
2.121537,74,692.809794
-2.124057,20,692.9284
-43.146744,217,694.212807
68.436978,1000,700.160265
21.753372,110,700.800819
21.101036,230,702.189862
8.706883,24,702.348208
116.827638,1000,751.398168
79.947134,302,753.203486
-4.881716,24,753.343779
64.106422,265,754.91961
29.174014,1000,760.821519
85.439309,315,762.678523
85.880295,459,765.373702
198.809859,785,770.103587
215.425392,979,819.147417
113.443702,1000,833.869874
104.513996,341,835.879224
160.010256,979,841.658308
66.621925,1000,848.422081
164.296794,1000,896.922611
164.634958,886,902.231807
67.958494,366,904.415812
8.890091,461,907.123937
0.770534,221,908.42605
37.309566,321,910.317674
180.685534,1000,956.559088
123.31656,1000,965.479725
10.708604,1000,971.410929
-15.146993,452,974.100232
229.955314,1000,980.081659
9.643668,182,981.313909
76.997683,705,1026.564743
84.603967,460,1031.109577
68.347462,691,1035.686864
119.237193,1000,1041.668002
99.157963,563,1045.008173
76.727432,454,1047.858503
123.012034,467,1051.408821
69.963153,665,1096.527454
49.42599,1000,1103.889179
267.98268,638,1107.662176
184.757612,1000,1113.546834
27.046434,681,1118.261601
60.036947,290,1158.838388
0.220425,110,1159.946117
24.162489,663,1166.438533
250.675881,1000,1172.94269
222.850584,1000,1178.855029
134.895557,1000,1185.42822
102.963301,347,1226.456769
16.369839,720,1233.574406
74.807569,268,1235.74701
237.939337,1000,1241.829373
57.056018,238,1243.249022
142.860822,1000,1249.293256
121.709905,1000,1294.803726
-23.776211,125,1296.028983
87.620454,384,1299.85237
33.802959,306,1302.65202
30.225136,149,1303.676525
49.975085,977,1309.562205
129.635962,1000,1315.521818
22.786401,211,1316.905517
59.707864,369,1319.435827
131.935048,1000,1365.973761
239.292276,1000,1373.654799
-8.33296,29,1373.835627
17.11842,277,1375.454511
42.912934,359,1377.588343
27.07062,122,1378.314348
230.121831,745,1382.842754
112.284741,1000,1427.72435
157.932509,838,1436.055664
91.68973,718,1441.247991
288.780543,909,1446.649806
106.759492,357,1448.798792
172.73688,1000,1455.783524
269.514589,1000,1502.432631
181.526789,997,1509.903259
306.475932,1000,1515.860584
60.454586,108,1516.583112
75.918282,1000,1523.694209
291.507933,1000,1569.82611
90.517422,339,1573.129627
73.283621,309,1575.364912
18.665046,61,1575.737895
116.441957,1000,1581.664689
-7.940779,45,1581.935689
44.355493,149,1582.889682
