#{"t_start": 1718361815.2902465, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
45.561277,249,2.496797
-45.198741,334,4.582993
49.800378,1000,10.503612
-6.6633,61,10.859503
154.265897,1000,16.758733
50.166758,617,20.419115
87.366537,1000,69.504744
25.029927,1000,75.862419
0.563045,1000,81.781775
-5.045111,265,83.336861
63.360996,1000,89.359153
-6.793233,49,89.645812
-8.622211,13,89.72253
-32.695343,808,137.831219
-23.665206,380,140.311401
-44.14178,199,141.484793
-78.57765,716,145.752783
-5.763541,276,147.394985
174.185806,1000,153.411133
97.222424,1000,159.411833
-10.03158,9,159.463839
-36.77652,307,161.671341
-21.761715,655,208.698748
84.088472,551,211.938698
73.982123,774,216.554726
93.895517,1000,222.537217
14.268129,319,224.414183
-56.794072,736,229.22262
13.39658,689,276.340641
-3.943952,46,276.620588
-11.673142,42,276.876695
-25.008084,138,277.689576
-34.864385,1000,283.7666
62.858321,1000,289.8099
82.886772,486,292.713011
54.241584,734,297.634117
-8.22984,12,297.724052
2.734517,449,343.10941
-2.410865,422,345.629274
17.866308,64,346.001163
33.468709,268,347.59792
-14.961705,40,347.837434
81.004937,386,350.107135
3.097678,299,351.88854
34.290355,376,354.101526
55.06311,1000,360.064847
-11.050145,10,360.125335
157.510395,991,408.851654
220.763531,1000,415.399174
43.936227,434,418.044581
100.631347,599,421.875871
8.724174,26,422.033667
81.355854,1000,428.049468
23.457616,154,428.971812
17.870593,1000,477.780608
76.865287,1000,484.137819
63.243866,341,486.166826
29.678303,537,489.367856
86.426823,1000,495.308836
-10.116123,21,495.436413
40.212391,1000,543.648933
55.783844,1000,550.823653
29.259347,952,556.513672
124.926125,1000,562.530763
-10.150481,15,562.629412
-7.780518,12,562.705469
20.717587,724,567.120061
112.334499,642,614.072693
173.087798,1000,620.374026
152.840424,992,626.30944
116.913632,1000,632.298478
-14.317117,84,632.807507
172.977552,783,679.665402
4.451469,195,681.561433
85.26676,1000,687.970199
146.98924,529,691.103838
191.698541,1000,697.019779
22.720345,121,697.741473
74.030839,1000,703.985873
93.468023,1000,752.785656
122.922022,1000,758.70012
32.75501,582,762.129182
97.638212,460,764.828419
43.535738,1000,770.975337
-9.438935,13,771.069924
44.29629,401,815.183828
94.23377,357,818.402974
9.91384,101,819.224774
79.020547,1000,833.961985
25.928751,86,834.47057
92.749018,292,836.18789
-7.103523,170,837.18433
58.827982,699,841.318579
25.215957,145,842.175273
-2.130177,132,842.953229
14.351102,90,843.477752
98.130558,1000,890.623745
301.832616,1000,898.829468
93.981796,487,901.703505
0.610636,16,901.796484
3.973402,103,902.405703
106.230226,1000,908.317132
-1.570475,399,910.671752
67.541985,583,914.492524
68.641672,310,955.970292
16.833018,173,957.689997
-27.369638,103,958.696587
35.931258,134,960.014697
13.285549,44,960.441366
301.847476,1000,967.89965
174.124374,1000,973.81706
42.336224,174,974.847233
245.13072,1000,980.908665
131.469025,1000,1028.8735
121.828812,575,1033.671647
20.755072,1000,1039.654221
106.84538,489,1042.585684
184.651565,1000,1048.743071
74.431244,1000,1096.4724
198.402734,683,1102.020222
164.075698,1000,1107.958076
20.15562,71,1108.37583
-2.726552,59,1108.718744
-4.178182,15,1108.805814
-16.866673,192,1109.946287
10.838072,98,1110.516197
13.95206,297,1112.26662
-7.860398,11,1112.331904
103.901845,947,1118.661218
27.377251,159,1119.842334
13.04481,488,1162.849586
