#{"t_start": 1718361817.266505, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
66.039244,722,5.25971
-11.101925,36,5.477674
-12.939129,11,5.551087
-4.180981,1000,11.488998
-35.084149,592,15.071962
-6.201304,11,15.139916
63.437337,881,20.442917
50.901835,1000,69.724655
-43.092738,555,73.125679
-62.852557,1000,79.077156
79.436081,1000,85.030807
-47.711411,1000,91.401282
8.048253,1000,140.517458
-70.363441,1000,146.542604
130.261821,759,151.167563
-21.471456,661,155.217373
24.629803,234,156.615549
24.530709,86,157.126641
-20.155096,1000,206.544245
5.47384,34,206.75028
-117.107376,1000,212.751401
97.819361,907,218.280791
-8.121127,11,218.346366
19.819389,1000,224.321671
-64.376292,764,230.322019
-11.461446,11,230.437022
-17.774163,230,273.773903
-11.415883,1000,279.809464
-11.5746,9,279.86224
-8.205672,14,279.946709
-20.233986,184,281.067467
-4.481061,24,281.208891
-62.503866,541,284.522734
-35.110546,579,288.040042
-11.937815,794,292.980442
-1.515171,357,295.644657
-29.235205,369,299.037698
5.177216,37,299.422615
-10.757614,607,344.387402
-40.373222,56,344.712635
-24.471095,1000,350.608718
51.088149,486,353.465663
49.400468,1000,359.482607
-27.368582,1000,367.501742
