#{"t_start": 1718361817.258097, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
31.414881,746,5.410521
-15.944485,15,5.502444
6.644355,1000,11.445236
-10.655352,15,11.539695
10.633898,104,12.161632
2.948162,76,12.611268
-2.201417,16,12.706734
-70.879836,1000,18.744781
59.243544,966,25.516903
7.590116,210,69.104365
-36.065869,315,71.011662
5.228048,219,72.344719
-8.587627,10,72.404428
95.729791,1000,78.398734
-76.437016,1000,84.323694
68.031124,1000,90.529822
-114.105845,1000,139.826803
5.674517,1000,145.845906
-23.539474,1000,151.923554
-20.925131,456,154.730405
-50.045988,250,156.244416
-41.253261,1000,205.634177
-2.604019,47,205.922959
3.139735,148,206.823499
-19.759443,28,206.987081
-55.052952,1000,212.990205
15.134709,462,215.846167
-14.750374,10,215.905549
-11.760174,15,215.997183
2.698435,294,217.767264
-17.809167,866,222.955585
-73.450811,599,226.797007
-88.585458,972,275.773737
-68.244784,370,278.022846
7.021398,183,279.134825
44.147159,1000,285.243004
-8.635292,20,285.365216
17.514257,156,286.302483
15.676308,349,288.423742
-59.039072,808,293.48874
-18.525029,246,295.368557
-14.085376,1000,344.108012
-0.030211,609,347.694886
125.415166,641,351.474433
-11.629826,9,351.528461
27.819191,258,353.039036
-10.54118,10,353.096618
45.866184,421,355.627357
-31.622033,109,356.278451
-3.082831,157,357.228147
-46.755389,1000,363.839376
-95.412769,668,410.737547
108.490892,467,413.601446
-32.957909,25,413.759655
199.340416,1000,420.245832
-43.396782,1000,426.263163
139.813295,1000,433.240863
-60.939889,456,478.196689
9.277821,73,478.642866
48.708586,345,480.756731
74.953359,873,485.973999
19.479146,222,487.309455
110.169865,1000,493.269593
90.51954,1000,500.104342
-12.776222,48,500.520698
50.469338,1000,549.032643
23.576589,855,554.104196
-10.325063,127,554.879691
9.703656,667,558.864881
-23.02827,226,560.202064
118.561663,1000,566.496376
3.770452,729,614.051508
69.646486,402,616.466012
-9.188956,103,617.084312
-44.69175,555,620.420165
-8.397118,14,620.50663
-23.259416,505,623.564285
31.456169,1000,629.593486
24.957792,342,631.685768
45.401458,1000,639.91164
-6.243974,322,683.07849
17.353661,312,684.941911
20.171807,187,686.053026
36.420099,1000,692.000591
-8.776524,402,694.385714
-9.941807,9,694.438003
92.191535,619,698.122133
-58.025327,639,702.337948
179.724652,1000,751.177125
208.558805,1000,757.193488
-8.357255,269,758.802931
103.352351,1000,764.755001
-8.653209,10,764.816535
-7.144699,11,764.882757
18.207855,107,765.530961
120.105058,862,771.559468
98.790401,1000,820.422732
116.232729,668,834.690981
95.956942,1000,840.739523
90.100866,531,844.044501
-2.064307,482,848.016936
4.700923,1000,896.236752
3.47792,185,897.309844
-14.020946,198,898.498486
-10.031999,16,898.597354
92.876242,1000,904.558567
-1.221011,14,904.638675
28.182396,426,907.160593
122.773488,1000,913.779164
-67.362401,1000,922.665529
-12.909235,13,922.830374
-22.312752,401,965.023615
111.161942,1000,970.973395
67.486435,1000,976.890222
11.188053,172,977.972204
136.31043,1000,986.019825
-57.860019,1000,1033.332336
-11.086289,11,1033.396292
-7.767819,16,1033.487788
32.341495,378,1035.709006
92.841559,1000,1041.670132
-40.919988,324,1043.581408
77.796022,1000,1050.729508
37.641253,1000,1060.146246
107.868034,1000,1105.120857
42.481671,265,1106.686865
-7.807887,11,1106.751919
-6.279678,34,1106.952744
55.771589,784,1111.613472
-1.216575,28,1111.775091
-8.61161,9,1111.827939
-5.991484,824,1118.155583
1.517832,268,1120.5353
-93.720685,1000,1167.953698
116.752703,770,1172.52061
27.497237,202,1173.705481
217.324007,1000,1179.642692
152.864971,1000,1187.160017
-8.998809,12,1187.262301
135.985398,1000,1196.876253
-31.998296,300,1236.558492
74.67417,1000,1242.486556
45.586499,150,1243.392028
136.017615,1000,1249.727809
116.788797,1000,1257.983257
59.619898,416,1261.85327
