#{"t_start": 1718345965.3977177, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
-23.789332,707,8.822156
70.952985,573,15.936743
-3.12334,19,16.140921
-8.834764,240,18.759347
-0.89987,914,28.84818
-11.025827,9,28.948267
-34.77009,944,52.734279
-9.150304,12,52.909521
-13.648596,11,53.067646
-100.037719,1000,121.674497
60.496042,652,141.35393
-12.279556,14,141.613219
55.146062,1000,152.726585
168.620103,1000,162.987134
-37.100021,762,183.18481
0.435088,804,258.682988
167.534353,1000,272.715717
-6.962543,11,272.874526
-5.030658,14,273.070065
41.097423,1000,289.193631
-35.617339,822,300.636126
-17.016964,28,300.983173
61.321907,1000,376.34327
67.08571,1000,386.845636
99.698662,1000,395.95383
43.695162,420,399.741215
-90.858613,1000,417.717301
28.532866,1000,462.439864
97.887012,1000,473.366797
60.736434,689,482.33375
-8.858805,11,482.476059
45.335455,1000,494.23591
22.375163,543,505.749354
69.85314,667,547.089689
69.56463,984,556.998833
91.443979,822,574.122611
32.416774,732,581.276408
55.91777,1000,591.77139
214.859918,1000,642.779499
51.29174,353,645.962986
-4.861268,33,646.280303
-8.488324,10,646.379235
167.77093,1000,655.646804
40.786121,1000,677.028273
-7.757199,13,677.130887
-4.902705,31,677.384312
9.444222,162,678.714673
39.804997,116,679.632207
68.414326,1000,732.604228
84.4475,1000,750.450165
59.668264,973,759.986325
-4.784718,87,760.892265
112.047457,1000,771.430848
176.838007,870,824.585222
64.561286,358,827.530976
-7.837552,64,828.050327
177.207901,1000,836.37206
-1.624418,94,837.514988
86.835045,756,852.360629
67.326939,1000,861.687009
44.199007,362,865.472929
44.239616,338,906.852634
-15.708874,11,906.97022
56.466498,1000,924.368727
34.410347,823,933.22997
138.678168,415,937.57159
-8.053901,16,937.74028
-16.017193,67,938.436139
113.708923,890,956.333601
-10.8717,160,958.020604
-8.870794,12,958.114961
12.007315,289,960.419983
-2.34328,13,960.528838
196.696286,1000,1014.441172
21.308719,409,1018.177702
41.058548,219,1020.497999
75.582474,1000,1037.665198
79.934404,717,1045.241138
-16.224134,10,1045.345914
23.84314,125,1046.654001
89.486032,582,1052.750056
99.245745,348,1101.818949
13.98786,118,1103.129667
240.64464,1000,1116.812809
6.908738,1000,1129.774868
59.95093,1000,1152.862028
32.246842,336,1158.670796
67.09476,922,1231.229936
-7.956265,9,1231.348842
160.490079,783,1248.418784
4.595545,22,1248.719008
195.975626,1000,1262.415951
142.833238,1000,1275.58586
-0.101071,26,1275.798002
77.582204,1000,1335.230458
120.294167,292,1337.909762
177.577137,1000,1347.891699
113.885102,486,1361.154126
135.830821,659,1368.031794
-6.550253,12,1368.155313
139.17658,1000,1378.907323
127.633813,1000,1459.745047
85.033352,1000,1471.824618
107.099692,1000,1485.169818
80.014061,384,1498.308071
-12.47481,18,1498.497506
195.495149,1000,1508.909875
159.079425,552,1549.601589
185.154735,466,1553.350729
42.206086,358,1564.872605
248.207744,1000,1575.350035
159.555574,1000,1584.504849
138.575368,1000,1637.850418
21.872931,297,1640.962969
54.064027,659,1648.432818
102.894597,678,1654.255435
-8.182705,128,1655.417552
7.267548,153,1657.01051
83.55218,416,1670.917635
318.830243,984,1683.837661
67.980893,356,1687.746256
14.142832,415,1728.999262
108.330617,1000,1748.888627
91.283723,1000,1759.17818
152.668612,729,1766.675031
49.991549,164,1776.484936
254.344831,1000,1787.431405
23.266762,271,1825.517003
-7.81234,131,1826.884636
185.07291,768,1834.52438
-8.358882,18,1834.749721
105.487395,354,1846.462327
324.218033,1000,1857.019055
202.082953,1000,1867.750187
23.267778,167,1869.599747
245.160375,1000,1920.159355
43.398764,672,1927.515537
156.120921,1000,1938.082914
242.825711,677,1953.274798
194.139886,1000,1963.331348
139.186239,493,2004.152161
375.073626,1000,2022.288834
186.227977,940,2031.708573
213.510637,1000,2050.240176
189.163724,1000,2094.049123
392.493711,773,2101.83459
280.584762,1000,2116.242784
76.731249,435,2119.919814
428.671096,1000,2129.94963
22.094387,473,2134.839201
-5.825071,10,2134.942646
14.406501,157,2136.568379
323.307953,1000,2189.500978
214.281816,1000,2199.92078
299.93691,1000,2218.004854
25.905528,72,2218.649453
212.380072,1000,2226.682448
117.633451,1000,2271.615269
-1.301357,19,2271.812616
20.631833,79,2280.662109
312.077887,1000,2291.549207
199.578269,504,2298.524905
30.01227,159,2300.699575
387.933852,1000,2320.60538
22.286336,211,2322.879865
55.450432,149,2324.496624
322.374778,1000,2370.336463
397.922212,799,2379.612202
67.616043,150,2388.610368
336.878113,913,2398.122871
86.851595,186,2400.045042
252.373741,901,2409.337689
60.517413,163,2411.017778
289.206002,469,2465.10076
329.761838,1000,2475.306576
1.243807,62,2475.944085
121.748487,289,2478.855707
265.872345,1000,2496.890808
393.004933,1000,2507.812062
308.387186,1000,2550.391362
-4.347805,105,2551.422246
298.516434,1000,2569.136824
-2.315989,12,2569.263841
341.388054,1000,2580.169694
36.951695,168,2581.887762
222.539788,1000,2599.785964
45.479045,262,2602.764843
116.053652,314,2641.164576
24.864222,101,2641.970641
283.797544,1000,2651.282401
121.461005,769,2666.81986
77.135866,337,2670.429132
42.380395,138,2671.941525
